Record Date,Security Type Description,Security Class Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2019-05-31,Marketable,Bonds,2247948.9891,10525.063,2258474.0521,3,2019,3,2019,2,05,31
2019-05-31,Marketable,Treasury Inflation-Protected Securities,1409989.9110694,305.89808102,1410295.80915042,4,2019,3,2019,2,05,31
2019-05-31,Total Marketable,_,15914390.8668694,26860.26498102,15941251.1318504,7,2019,3,2019,2,05,31
2019-05-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2019,3,2019,2,05,31
2019-04-30,Marketable,Bills,2383330.1561,662.965,2383993.1211,1,2019,3,2019,2,04,30
2019-04-30,Marketable,Bonds,2222584.0076,10417.5566,2233001.5642,3,2019,3,2019,2,04,30
2019-04-30,Marketable,Treasury Inflation-Protected Securities,1389990.2073785,285.04754972,1390275.25492822,4,2019,3,2019,2,04,30
2019-04-30,Marketable,Notes,9485848.78639999,5539.9009,9491388.68729999,2,2019,3,2019,2,04,30
2019-04-30,Marketable,Federal Financing Bank,0,10339.458,10339.458,6,2019,3,2019,2,04,30
2019-04-30,Marketable,Floating Rate Notes,371903.2109,10.28,371913.4909,5,2019,3,2019,2,04,30
2019-04-30,Total Marketable,_,15853656.3683785,27255.20804972,15880911.5764282,7,2019,3,2019,2,04,30
2019-04-30,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2019,3,2019,2,04,30
2019-04-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2019,3,2019,2,04,30
2019-04-30,Nonmarketable,State and Local Government Series,58030.297693,0,58030.297693,10,2019,3,2019,2,04,30
2019-04-30,Nonmarketable,United States Savings Securities,154146.1929416,0,154146.1929416,11,2019,3,2019,2,04,30
2019-04-30,Nonmarketable,Government Account Series,94941.9709909298,5807624.16099514,5902566.13198607,12,2019,3,2019,2,04,30
2019-04-30,Nonmarketable,Other,1755.03768761,0,1755.03768761,13,2019,3,2019,2,04,30
2019-04-30,Total Nonmarketable,_,339133.02131314,5807624.16099514,6146757.18230828,14,2019,3,2019,2,04,30
2019-04-30,Total Public Debt Outstanding,_,16192789.3896916,5834879.36904486,22027667.7587365,15,2019,3,2019,2,04,30
2019-03-31,Nonmarketable,Government Account Series,45624.47349751,5794954.53674671,5840580.01024422,12,2019,2,2019,1,03,31
2019-03-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2019,2,2019,1,03,31
2019-03-31,Total Nonmarketable,_,294026.84687865,5794954.53674671,6088982.38362536,14,2019,2,2019,1,03,31
2019-03-31,Total Public Debt Outstanding,_,16204392.0121545,5823487.60703242,22027879.6191869,15,2019,2,2019,1,03,31
2019-03-31,Marketable,Bills,2479406.7598,628.429,2480035.1888,1,2019,2,2019,1,03,31
2019-03-31,Marketable,Notes,9410162.4631,4107.3816,9414269.8447,2,2019,2,2019,1,03,31
2019-03-31,Marketable,Bonds,2203850.0173,13149.5906,2216999.6079,3,2019,2,2019,1,03,31
2019-03-31,Marketable,Treasury Inflation-Protected Securities,1420671.10957588,297.93108571,1420969.04066159,4,2019,2,2019,1,03,31
2019-03-31,Marketable,Federal Financing Bank,0,10339.458,10339.458,6,2019,2,2019,1,03,31
2019-03-31,Marketable,Floating Rate Notes,396274.8155,10.28,396285.0955,5,2019,2,2019,1,03,31
2019-03-31,Total Marketable,_,15910365.1652759,28533.07028571,15938898.2355616,7,2019,2,2019,1,03,31
2019-03-31,Nonmarketable,United States Savings Securities,154532.76135147,0,154532.76135147,11,2019,2,2019,1,03,31
2019-03-31,Nonmarketable,Other,1635.26532843,0,1635.26532843,13,2019,2,2019,1,03,31
2019-03-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2019,2,2019,1,03,31
2019-03-31,Nonmarketable,State and Local Government Series,61974.82470124,0,61974.82470124,10,2019,2,2019,1,03,31
2019-02-28,Total Nonmarketable,_,510297.836405151,5835551.90517631,6345849.74158146,14,2019,2,2019,1,02,28
2019-02-28,Total Public Debt Outstanding,_,16250898.0447292,5864628.40087073,22115526.4456,15,2019,2,2019,1,02,28
2019-02-28,Marketable,Bills,2395382.0139,659.929,2396041.9429,1,2019,2,2019,1,02,28
2019-02-28,Marketable,Notes,9371585.039,4686.0376,9376271.07659999,2,2019,2,2019,1,02,28
2019-02-28,Marketable,Bonds,2187909.0218,13090.7814,2200999.8032,3,2019,2,2019,1,02,28
2019-02-28,Marketable,Treasury Inflation-Protected Securities,1407438.9746241,300.28969442,1407739.26431852,4,2019,2,2019,1,02,28
2019-02-28,Marketable,Federal Financing Bank,0,10339.458,10339.458,6,2019,2,2019,1,02,28
2019-02-28,Marketable,Floating Rate Notes,378285.159,0,378285.159,5,2019,2,2019,1,02,28
2019-02-28,Total Marketable,_,15740600.2083241,29076.49569442,15769676.7040185,7,2019,2,2019,1,02,28
2019-02-28,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2019,2,2019,1,02,28
2019-02-28,Nonmarketable,United States Savings Securities,154933.03872524,0,154933.03872524,11,2019,2,2019,1,02,28
2019-02-28,Nonmarketable,Foreign Series,264.342,0,264.342,9,2019,2,2019,1,02,28
2019-02-28,Nonmarketable,State and Local Government Series,61178.92385034,0,61178.92385034,10,2019,2,2019,1,02,28
2019-02-28,Nonmarketable,Other,1622.7474639,0,1622.7474639,13,2019,2,2019,1,02,28
2019-02-28,Nonmarketable,Government Account Series,262303.604365671,5835551.90517631,6097855.50954198,12,2019,2,2019,1,02,28
2019-01-31,Marketable,Bills,2298360.3134,704.565,2299064.8784,1,2019,2,2019,1,01,31
2019-01-31,Marketable,Notes,9351632.4249,4217.3126,9355849.7375,2,2019,2,2019,1,01,31
2019-01-31,Marketable,Bonds,2177714.7325,12800.975,2190515.7075,3,2019,2,2019,1,01,31
2019-01-31,Marketable,Treasury Inflation-Protected Securities,1403460.52496457,326.67077788,1403787.19574245,4,2019,2,2019,1,01,31
2019-01-31,Marketable,Floating Rate Notes,360290.2529,0,360290.2529,5,2019,2,2019,1,01,31
2019-01-31,Marketable,Federal Financing Bank,0,10339.458,10339.458,6,2019,2,2019,1,01,31
2019-01-31,Total Marketable,_,15591458.2486646,28388.98137788,15619847.2300424,7,2019,2,2019,1,01,31
2019-01-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2019,2,2019,1,01,31
2019-01-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2019,2,2019,1,01,31
2019-01-31,Nonmarketable,State and Local Government Series,61438.49314518,0,61438.49314518,10,2019,2,2019,1,01,31
2019-01-31,Nonmarketable,United States Savings Securities,155254.1329755,0,155254.1329755,11,2019,2,2019,1,01,31
2019-01-31,Nonmarketable,Government Account Series,261182.81160709,5852807.26320948,6113990.07481657,12,2019,2,2019,1,01,31
2019-01-31,Nonmarketable,Other,1633.57999975,0,1633.57999975,13,2019,2,2019,1,01,31
2019-01-31,Total Nonmarketable,_,509768.53972752,5852807.26320948,6362575.802937,14,2019,2,2019,1,01,31
2019-01-31,Total Public Debt Outstanding,_,16101226.7883921,5881196.24458736,21982423.0329794,15,2019,2,2019,1,01,31
2018-12-31,Marketable,Bills,2339374.3037,618.281,2339992.5847,1,2019,1,2018,4,12,31
2018-12-31,Marketable,Notes,9292753.2209,4294.2756,9297047.4965,2,2019,1,2018,4,12,31
2018-12-31,Marketable,Floating Rate Notes,383815.0941,0,383815.0941,5,2019,1,2018,4,12,31
2018-12-31,Marketable,Bonds,2161472.0718,13049.063,2174521.1348,3,2019,1,2018,4,12,31
2018-12-31,Marketable,Treasury Inflation-Protected Securities,1412256.44722001,334.69818719,1412591.1454072,4,2019,1,2018,4,12,31
2018-12-31,Marketable,Federal Financing Bank,0,10339.458,10339.458,6,2019,1,2018,4,12,31
2018-12-31,Total Marketable,_,15589671.13772,28635.77578719,15618306.9135072,7,2019,1,2018,4,12,31
2018-12-31,Nonmarketable,United States Savings Securities,155795.1674577,0,155795.1674577,11,2019,1,2018,4,12,31
2018-12-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2019,1,2018,4,12,31
2018-12-31,Nonmarketable,State and Local Government Series,66197.4644878,0,66197.4644878,10,2019,1,2018,4,12,31
2018-12-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2019,1,2018,4,12,31
2018-12-31,Nonmarketable,Government Account Series,258083.488373969,5843793.42952168,6101876.91789565,12,2019,1,2018,4,12,31
2018-12-31,Nonmarketable,Other,1659.74733184,0,1659.74733184,13,2019,1,2018,4,12,31
2018-12-31,Total Nonmarketable,_,511995.389651309,5843793.42952168,6355788.81917299,14,2019,1,2018,4,12,31
2018-12-31,Total Public Debt Outstanding,_,16101666.5273713,5872429.20530887,21974095.7326802,15,2019,1,2018,4,12,31
2018-11-30,Total Nonmarketable,_,513070.12124502,5776914.64708634,6289984.76833136,14,2019,1,2018,4,11,30
2018-11-30,Total Public Debt Outstanding,_,16044318.1919477,5805775.68549699,21850093.8774447,15,2019,1,2018,4,11,30
2018-11-30,Marketable,Bills,2388456.3158,643.781,2389100.0968,1,2019,1,2018,4,11,30
2018-11-30,Marketable,Notes,9236034.0119,4399.6206,9240433.6325,2,2019,1,2018,4,11,30
2018-11-30,Marketable,Federal Financing Bank,0,10339.458,10339.458,6,2019,1,2018,4,11,30
2018-11-30,Marketable,Floating Rate Notes,365811.2764,4.5,365815.7764,5,2019,1,2018,4,11,30
2018-11-30,Marketable,Bonds,2145312.6408,13208.5321,2158521.1729,3,2019,1,2018,4,11,30
2018-11-30,Marketable,Treasury Inflation-Protected Securities,1395633.82580269,265.14671065,1395898.97251334,4,2019,1,2018,4,11,30
2018-11-30,Total Marketable,_,15531248.0707027,28861.03841065,15560109.1091133,7,2019,1,2018,4,11,30
2018-11-30,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2019,1,2018,4,11,30
2018-11-30,Nonmarketable,United States Savings Securities,156225.03701672,0,156225.03701672,11,2019,1,2018,4,11,30
2018-11-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2019,1,2018,4,11,30
2018-11-30,Nonmarketable,State and Local Government Series,68984.57654544,0,68984.57654544,10,2019,1,2018,4,11,30
2018-11-30,Nonmarketable,Other,1630.25260286,0,1630.25260286,13,2019,1,2018,4,11,30
2018-11-30,Nonmarketable,Government Account Series,255970.73308,5776914.64708634,6032885.38016634,12,2019,1,2018,4,11,30
2018-10-31,Total Nonmarketable,_,514427.195418339,5830046.44231562,6344473.63773396,14,2019,1,2018,4,10,31
2018-10-31,Total Public Debt Outstanding,_,15843329.2983341,5859040.45758448,21702369.7559186,15,2019,1,2018,4,10,31
2018-10-31,Marketable,Bills,2257390.5097,610.891,2258001.4007,1,2019,1,2018,4,10,31
2018-10-31,Marketable,Bonds,2129632.8555,13189.4088,2142822.2643,3,2019,1,2018,4,10,31
2018-10-31,Marketable,Treasury Inflation-Protected Securities,1382052.85801579,234.70586886,1382287.56388465,4,2019,1,2018,4,10,31
2018-10-31,Marketable,Federal Financing Bank,0,10339.458,10339.458,6,2019,1,2018,4,10,31
2018-10-31,Marketable,Floating Rate Notes,346235.25,0,346235.25,5,2019,1,2018,4,10,31
2018-10-31,Marketable,Notes,9213590.6297,4619.5516,9218210.1813,2,2019,1,2018,4,10,31
2018-10-31,Total Marketable,_,15328902.1029158,28994.01526886,15357896.1181846,7,2019,1,2018,4,10,31
2018-10-31,Nonmarketable,Other,1571.07436993,0,1571.07436993,13,2019,1,2018,4,10,31
2018-10-31,Nonmarketable,Government Account Series,254062.858591979,5830046.44231562,6084109.3009076,12,2019,1,2018,4,10,31
2018-10-31,Nonmarketable,United States Savings Securities,156483.87983484,0,156483.87983484,11,2019,1,2018,4,10,31
2018-10-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2019,1,2018,4,10,31
2018-10-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2019,1,2018,4,10,31
2018-10-31,Nonmarketable,State and Local Government Series,72049.86062159,0,72049.86062159,10,2019,1,2018,4,10,31
2018-09-30,Total Nonmarketable,_,511076.688263611,5726935.78115942,6238013.37114603,14,2018,4,2018,3,09,30
2018-09-30,Total Public Debt Outstanding,_,15761154.5218339,5754904.15557523,21516057.5791321,15,2018,4,2018,3,09,30
2018-09-30,Marketable,Bills,2239473.3991,462.883,2239936.2821,1,2018,4,2018,3,09,30
2018-09-30,Marketable,Bonds,2114982.477,12840.0558,2127822.5328,3,2018,4,2018,3,09,30
2018-09-30,Marketable,Treasury Inflation-Protected Securities,1376179.67777028,245.87301581,1376425.55078609,4,2018,4,2018,3,09,30
2018-09-30,Marketable,Notes,9150300.575,4079.1046,9154379.6796,2,2018,4,2018,3,09,30
2018-09-30,Marketable,Federal Financing Bank,0,10339.458,10339.458,6,2018,4,2018,3,09,30
2018-09-30,Marketable,Floating Rate Notes,369141.7047,0,369141.7047,5,2018,4,2018,3,09,30
2018-09-30,Total Marketable,_,15250077.8335703,27967.37441581,15278045.2079861,7,2018,4,2018,3,09,30
2018-09-30,Nonmarketable,United States Savings Securities,156809.1007737,0,156809.1007737,11,2018,4,2018,3,09,30
2018-09-30,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,4,2018,3,09,30
2018-09-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,4,2018,3,09,30
2018-09-30,Nonmarketable,State and Local Government Series,71752.89115485,0,71752.89115485,10,2018,4,2018,3,09,30
2018-09-30,Nonmarketable,Other,1574.93153876,0,1574.93153876,13,2018,4,2018,3,09,30
2018-09-30,Nonmarketable,Government Account Series,250680.242796301,5726935.78115942,5977617.02395572,12,2018,4,2018,3,09,30
2018-08-31,Marketable,Bills,2340413.9684,509.105,2340923.0734,1,2018,4,2018,3,08,31
2018-08-31,Marketable,Notes,9116173.82889999,4206.6663,9120380.4952,2,2018,4,2018,3,08,31
2018-08-31,Marketable,Floating Rate Notes,352141.6479,0,352141.6479,5,2018,4,2018,3,08,31
2018-08-31,Total Nonmarketable,_,511704.896621321,5645307.21691221,6157012.11353353,14,2018,4,2018,3,08,31
2018-08-31,Total Public Debt Outstanding,_,15785389.1627757,5673460.53171284,21458849.6944885,15,2018,4,2018,3,08,31
2018-08-31,Marketable,Bonds,2099970.3341,12852.2406,2112822.5747,3,2018,4,2018,3,08,31
2018-08-31,Marketable,Treasury Inflation-Protected Securities,1364984.48685439,245.84490063,1365230.33175502,4,2018,4,2018,3,08,31
2018-08-31,Marketable,Federal Financing Bank,0,10339.458,10339.458,6,2018,4,2018,3,08,31
2018-08-31,Total Marketable,_,15273684.2661544,28153.31480063,15301837.580955,7,2018,4,2018,3,08,31
2018-08-31,Nonmarketable,United States Savings Securities,157087.55614666,0,157087.55614666,11,2018,4,2018,3,08,31
2018-08-31,Nonmarketable,Government Account Series,250565.306377291,5645307.21691221,5895872.5232895,12,2018,4,2018,3,08,31
2018-08-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,4,2018,3,08,31
2018-08-31,Nonmarketable,State and Local Government Series,72123.55237531,0,72123.55237531,10,2018,4,2018,3,08,31
2018-08-31,Nonmarketable,Other,1668.95972206,0,1668.95972206,13,2018,4,2018,3,08,31
2018-08-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,4,2018,3,08,31
2018-07-31,Total Public Debt Outstanding,_,15569493.1191567,5743567.93481129,21313061.053968,15,2018,4,2018,3,07,31
2018-07-31,Marketable,Notes,9090754.4888,4186.4483,9094940.9371,2,2018,4,2018,3,07,31
2018-07-31,Marketable,Bonds,2080147.0891,12260.7801,2092407.8692,3,2018,4,2018,3,07,31
2018-07-31,Marketable,Treasury Inflation-Protected Securities,1347525.02287969,244.23032459,1347769.25320428,4,2018,4,2018,3,07,31
2018-07-31,Marketable,Floating Rate Notes,333932.0559,16.52,333948.5759,5,2018,4,2018,3,07,31
2018-07-31,Marketable,Federal Financing Bank,0,10339.458,10339.458,6,2018,4,2018,3,07,31
2018-07-31,Total Marketable,_,15057713.5893797,27588.51172459,15085302.1011043,7,2018,4,2018,3,07,31
2018-07-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,4,2018,3,07,31
2018-07-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,4,2018,3,07,31
2018-07-31,Nonmarketable,State and Local Government Series,76082.02681129,0,76082.02681129,10,2018,4,2018,3,07,31
2018-07-31,Nonmarketable,United States Savings Securities,157526.83877396,0,157526.83877396,11,2018,4,2018,3,07,31
2018-07-31,Nonmarketable,Government Account Series,246257.061942731,5715979.4230867,5962236.48502943,12,2018,4,2018,3,07,31
2018-07-31,Nonmarketable,Other,1654.08024901,0,1654.08024901,13,2018,4,2018,3,07,31
2018-07-31,Total Nonmarketable,_,511779.529776991,5715979.4230867,6227758.95286369,14,2018,4,2018,3,07,31
2018-07-31,Marketable,Bills,2205354.9327,541.075,2205896.0077,1,2018,4,2018,3,07,31
2018-06-30,Marketable,Bills,2157411.5524,569.199,2157980.7514,1,2018,3,2018,2,06,30
2018-06-30,Marketable,Bonds,2066743.1254,11611.4248,2078354.5502,3,2018,3,2018,2,06,30
2018-06-30,Marketable,Federal Financing Bank,0,10339.458,10339.458,6,2018,3,2018,2,06,30
2018-06-30,Marketable,Floating Rate Notes,357794.4485,16.52,357810.9685,5,2018,3,2018,2,06,30
2018-06-30,Marketable,Notes,9028002.668,4193.6487,9032196.3167,2,2018,3,2018,2,06,30
2018-06-30,Marketable,Treasury Inflation-Protected Securities,1345473.32707382,250.22154859,1345723.54862241,4,2018,3,2018,2,06,30
2018-06-30,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,3,2018,2,06,30
2018-06-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,3,2018,2,06,30
2018-06-30,Nonmarketable,Government Account Series,242250.51203543,5701525.04462334,5943774.55665877,12,2018,3,2018,2,06,30
2018-06-30,Nonmarketable,Other,1647.86273666,0,1647.86273666,13,2018,3,2018,2,06,30
2018-06-30,Nonmarketable,State and Local Government Series,79115.34594913,0,79115.34594913,10,2018,3,2018,2,06,30
2018-06-30,Nonmarketable,United States Savings Securities,157865.86649003,0,157865.86649003,11,2018,3,2018,2,06,30
2018-06-30,Total Marketable,_,14955425.1213738,26980.47204859,14982405.5934224,7,2018,3,2018,2,06,30
2018-06-30,Total Nonmarketable,_,511139.10921125,5701525.04462334,6212664.15383459,14,2018,3,2018,2,06,30
2018-06-30,Total Public Debt Outstanding,_,15466564.2305851,5728504.51667193,21195069.747257,15,2018,3,2018,2,06,30
2018-05-31,Total Marketable,_,14910909.286204,28485.29948355,14939394.5856875,7,2018,3,2018,2,05,31
2018-05-31,Nonmarketable,United States Savings Securities,158233.2186219,0,158233.2186219,11,2018,3,2018,2,05,31
2018-05-31,Total Nonmarketable,_,516004.13924022,5689816.45177097,6205820.59101119,14,2018,3,2018,2,05,31
2018-05-31,Total Public Debt Outstanding,_,15426913.4254442,5718301.75125452,21145215.1766987,15,2018,3,2018,2,05,31
2018-05-31,Marketable,Bills,2183405.0355,577.1,2183982.1355,1,2018,3,2018,2,05,31
2018-05-31,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,3,2018,2,05,31
2018-05-31,Marketable,Floating Rate Notes,341794.3935,16.52,341810.9135,5,2018,3,2018,2,05,31
2018-05-31,Marketable,Bonds,2052472.6264,11882.036,2064354.6624,3,2018,3,2018,2,05,31
2018-05-31,Marketable,Treasury Inflation-Protected Securities,1335332.39150398,259.94138355,1335592.33288753,4,2018,3,2018,2,05,31
2018-05-31,Marketable,Notes,8997904.8393,4292.5031,9002197.3424,2,2018,3,2018,2,05,31
2018-05-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,3,2018,2,05,31
2018-05-31,Nonmarketable,State and Local Government Series,83594.65727682,0,83594.65727682,10,2018,3,2018,2,05,31
2018-05-31,Nonmarketable,Government Account Series,242281.5599871,5689816.45177097,5932098.01175807,12,2018,3,2018,2,05,31
2018-05-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,3,2018,2,05,31
2018-05-31,Nonmarketable,Other,1635.1813544,0,1635.1813544,13,2018,3,2018,2,05,31
2018-04-30,Total Public Debt Outstanding,_,15335128.3684948,5733072.08959186,21068200.4580866,15,2018,3,2018,2,04,30
2018-04-30,Marketable,Bills,2166346.1634,2640.817,2168986.9804,1,2018,3,2018,2,04,30
2018-04-30,Marketable,Notes,8970018.1388,4201.3481,8974219.4869,2,2018,3,2018,2,04,30
2018-04-30,Marketable,Floating Rate Notes,325794.2944,16.52,325810.8144,5,2018,3,2018,2,04,30
2018-04-30,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,3,2018,2,04,30
2018-04-30,Marketable,Bonds,2042166.2234,7807.7192,2049973.9426,3,2018,3,2018,2,04,30
2018-04-30,Marketable,Treasury Inflation-Protected Securities,1319120.16321679,324.48638237,1319444.64959916,4,2018,3,2018,2,04,30
2018-04-30,Total Marketable,_,14823444.9832168,26448.08968237,14849893.0728992,7,2018,3,2018,2,04,30
2018-04-30,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,3,2018,2,04,30
2018-04-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,3,2018,2,04,30
2018-04-30,Nonmarketable,State and Local Government Series,82219.1423363,0,82219.1423363,10,2018,3,2018,2,04,30
2018-04-30,Nonmarketable,United States Savings Securities,158605.80178622,0,158605.80178622,11,2018,3,2018,2,04,30
2018-04-30,Nonmarketable,Other,1645.31001928,0,1645.31001928,13,2018,3,2018,2,04,30
2018-04-30,Nonmarketable,Government Account Series,238953.609136199,5706623.99990949,5945576.60904569,12,2018,3,2018,2,04,30
2018-04-30,Total Nonmarketable,_,511683.385277999,5706623.99990949,6218307.38518748,14,2018,3,2018,2,04,30
2018-03-31,Marketable,Bills,2284417.4103,4551.547,2288968.9573,1,2018,2,2018,1,03,31
2018-03-31,Marketable,Notes,8920299.8521,4255.4711,8924555.3232,2,2018,2,2018,1,03,31
2018-03-31,Marketable,Bonds,2033787.4012,3164.3781,2036951.7793,3,2018,2,2018,1,03,31
2018-03-31,Marketable,Treasury Inflation-Protected Securities,1348478.7074453,338.70928587,1348817.41673117,4,2018,2,2018,1,03,31
2018-03-31,Marketable,Floating Rate Notes,333968.4717,16.52,333984.9917,5,2018,2,2018,1,03,31
2018-03-31,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,2,2018,1,03,31
2018-03-31,Total Marketable,_,14920951.8427453,23783.82448587,14944735.6672312,7,2018,2,2018,1,03,31
2018-03-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,2,2018,1,03,31
2018-03-31,Nonmarketable,State and Local Government Series,84595.17242444,0,84595.17242444,10,2018,2,2018,1,03,31
2018-03-31,Nonmarketable,United States Savings Securities,159040.00186756,0,159040.00186756,11,2018,2,2018,1,03,31
2018-03-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,2,2018,1,03,31
2018-03-31,Nonmarketable,Government Account Series,231471.02796571,5637849.08419115,5869320.11215685,12,2018,2,2018,1,03,31
2018-03-31,Nonmarketable,Other,1692.33961843,0,1692.33961843,13,2018,2,2018,1,03,31
2018-03-31,Total Nonmarketable,_,507058.06387614,5637849.08419115,6144907.14806728,14,2018,2,2018,1,03,31
2018-03-31,Total Public Debt Outstanding,_,15428009.9066214,5661632.90867702,21089642.8152984,15,2018,2,2018,1,03,31
2018-02-28,Total Nonmarketable,_,496080.68415108,5681648.70725828,6177730.39140936,14,2018,2,2018,1,02,28
2018-02-28,Marketable,Bills,2074218.2805,3748.055,2077966.3355,1,2018,2,2018,1,02,28
2018-02-28,Marketable,Notes,8894907.0967,4649.4141,8899556.5108,2,2018,2,2018,1,02,28
2018-02-28,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,2,2018,1,02,28
2018-02-28,Marketable,Bonds,2020732.612,3219.2052,2023951.8172,3,2018,2,2018,1,02,28
2018-02-28,Marketable,Treasury Inflation-Protected Securities,1330681.94741742,343.20167631,1331025.14909373,4,2018,2,2018,1,02,28
2018-02-28,Marketable,Floating Rate Notes,333968.4717,16.52,333984.9917,5,2018,2,2018,1,02,28
2018-02-28,Total Marketable,_,14654508.4083174,23433.59497631,14677942.0032937,7,2018,2,2018,1,02,28
2018-02-28,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,2,2018,1,02,28
2018-02-28,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,2,2018,1,02,28
2018-02-28,Nonmarketable,State and Local Government Series,83390.13735637,0,83390.13735637,10,2018,2,2018,1,02,28
2018-02-28,Nonmarketable,Other,1786.77706041,0,1786.77706041,13,2018,2,2018,1,02,28
2018-02-28,Nonmarketable,Government Account Series,221168.9073269,5681648.70725828,5902817.61458518,12,2018,2,2018,1,02,28
2018-02-28,Nonmarketable,United States Savings Securities,159475.3404074,0,159475.3404074,11,2018,2,2018,1,02,28
2018-02-28,Total Public Debt Outstanding,_,15150589.0924685,5705082.30223459,20855672.3947031,15,2018,2,2018,1,02,28
2018-01-31,Nonmarketable,Other,1797.17033367,0,1797.17033367,13,2018,2,2018,1,01,31
2018-01-31,Total Public Debt Outstanding,_,14803169.5870704,5690560.18908585,20493729.7761562,15,2018,2,2018,1,01,31
2018-01-31,Total Nonmarketable,_,312599.04095049,5666585.79200255,5979184.83295304,14,2018,2,2018,1,01,31
2018-01-31,Marketable,Bills,1963108.9011,3830.453,1966939.3541,1,2018,2,2018,1,01,31
2018-01-31,Marketable,Notes,8884060.49449999,5114.7071,8889175.20159999,2,2018,2,2018,1,01,31
2018-01-31,Marketable,Bonds,2001727.3211,3202.4029,2004929.724,3,2018,2,2018,1,01,31
2018-01-31,Marketable,Treasury Inflation-Protected Securities,1322714.34021989,345.1250833,1323059.46530319,4,2018,2,2018,1,01,31
2018-01-31,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,2,2018,1,01,31
2018-01-31,Marketable,Floating Rate Notes,318959.4892,24.51,318983.9992,5,2018,2,2018,1,01,31
2018-01-31,Total Marketable,_,14490570.5461199,23974.3970833,14514544.9432032,7,2018,2,2018,1,01,31
2018-01-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,2,2018,1,01,31
2018-01-31,Nonmarketable,United States Savings Securities,159902.40041584,0,159902.40041584,11,2018,2,2018,1,01,31
2018-01-31,Nonmarketable,Government Account Series,34070.13631048,5666585.79200255,5700655.92831303,12,2018,2,2018,1,01,31
2018-01-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,2,2018,1,01,31
2018-01-31,Nonmarketable,State and Local Government Series,86569.8118905,0,86569.8118905,10,2018,2,2018,1,01,31
2017-12-31,Marketable,Bills,1952521.0083,3411.55,1955932.5583,1,2018,1,2017,4,12,31
2017-12-31,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,1,2017,4,12,31
2017-12-31,Marketable,Floating Rate Notes,343027.3702,24.51,343051.8802,5,2018,1,2017,4,12,31
2017-12-31,Marketable,Bonds,1989230.8254,3293.2359,1992524.0613,3,2018,1,2017,4,12,31
2017-12-31,Marketable,Treasury Inflation-Protected Securities,1327160.03790858,368.18437451,1327528.22228309,4,2018,1,2017,4,12,31
2017-12-31,Marketable,Notes,8844127.9509,5615.7311,8849743.682,2,2018,1,2017,4,12,31
2017-12-31,Total Marketable,_,14456067.1927086,24170.41037451,14480237.6030831,7,2018,1,2017,4,12,31
2017-12-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,1,2017,4,12,31
2017-12-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,1,2017,4,12,31
